,0
853,tensor(0.9601)
854,tensor(0.9241)
855,tensor(0.8574)
856,tensor(0.9321)
857,tensor(0.9349)
858,tensor(0.9137)
859,tensor(0.8810)
860,tensor(0.8944)
861,tensor(0.8903)
862,tensor(0.9140)
863,tensor(0.9312)
864,tensor(0.9679)
865,tensor(0.8917)
866,tensor(0.8625)
867,tensor(0.9207)
868,tensor(0.9148)
869,tensor(0.9422)
870,tensor(0.9544)
871,tensor(0.9117)
872,tensor(0.9611)
873,tensor(0.9662)
874,tensor(0.9369)
875,tensor(0.8255)
876,tensor(0.9593)
877,tensor(0.8829)
878,tensor(0.9414)
879,tensor(0.9894)
880,tensor(0.8923)
881,tensor(0.8127)
882,tensor(0.9288)
883,tensor(0.9356)
884,tensor(0.9267)
885,tensor(0.8163)
886,tensor(0.8621)
887,tensor(0.9181)
888,tensor(0.8685)
889,tensor(0.9665)
890,tensor(0.8889)
891,tensor(0.9641)
892,tensor(0.8910)
893,tensor(0.9001)
894,tensor(0.7816)
895,tensor(0.9232)
896,tensor(0.8360)
897,tensor(0.9984)
898,tensor(0.9587)
899,tensor(0.9424)
900,tensor(0.9996)
901,tensor(0.9269)
902,tensor(0.9437)
903,tensor(0.9478)
904,tensor(0.8252)
905,tensor(0.8771)
906,tensor(0.9266)
907,tensor(0.9379)
908,tensor(0.9985)
909,tensor(0.8887)
910,tensor(0.9124)
911,tensor(0.9070)
912,tensor(0.9982)
913,tensor(0.9010)
914,tensor(0.9153)
915,tensor(0.9290)
916,tensor(0.8377)
917,tensor(0.9292)
918,tensor(0.8280)
919,tensor(0.8862)
920,tensor(0.8878)
921,tensor(0.8555)
922,tensor(0.9038)
923,tensor(0.8510)
924,tensor(0.9452)
925,tensor(0.8391)
926,tensor(0.8750)
927,tensor(0.9136)
928,tensor(0.8604)
929,tensor(0.8782)
930,tensor(0.9207)
931,tensor(0.9987)
932,tensor(0.9191)
933,tensor(0.9621)
934,tensor(0.9509)
935,tensor(0.9183)
936,tensor(0.8621)
937,tensor(0.8239)
938,tensor(0.8547)
939,tensor(0.9370)
940,tensor(0.8981)
941,tensor(0.8413)
942,tensor(0.9497)
943,tensor(0.9650)
944,tensor(0.9081)
945,tensor(0.8396)
946,tensor(0.9630)
947,tensor(0.9341)
948,tensor(0.9285)
949,tensor(0.9196)
950,tensor(0.8839)
951,tensor(0.8893)
952,tensor(0.8987)
953,tensor(0.9794)
954,tensor(0.8680)
955,tensor(0.9806)
956,tensor(0.8994)
957,tensor(0.8438)
958,tensor(0.8023)
959,tensor(0.8436)
960,tensor(0.8744)
961,tensor(0.8879)
962,tensor(0.8856)
963,tensor(0.8804)
964,tensor(0.9351)
965,tensor(0.9074)
966,tensor(0.9376)
967,tensor(0.8706)
968,tensor(0.8905)
969,tensor(0.9883)
970,tensor(0.8967)
971,tensor(0.8412)
972,tensor(0.8761)
973,tensor(0.8492)
974,tensor(0.9991)
975,tensor(0.8873)
976,tensor(0.8763)
977,tensor(0.9922)
978,tensor(0.9123)
979,tensor(0.9931)
980,tensor(0.9125)
981,tensor(0.8730)
982,tensor(0.8933)
983,tensor(0.8833)
984,tensor(0.8523)
985,tensor(0.9013)
986,tensor(0.9109)
987,tensor(0.8956)
988,tensor(0.9551)
989,tensor(0.8362)
990,tensor(0.9495)
991,tensor(0.8353)
992,tensor(0.8688)
993,tensor(0.9357)
994,tensor(0.8668)
995,tensor(0.8570)
996,tensor(0.9785)
997,tensor(0.8915)
