,0
913,tensor(4.5050)
914,tensor(4.5764)
915,tensor(4.6449)
916,tensor(4.1883)
917,tensor(4.6459)
918,tensor(4.1400)
919,tensor(4.4310)
920,tensor(4.4388)
921,tensor(4.2774)
922,tensor(4.5192)
923,tensor(4.2550)
924,tensor(4.7258)
925,tensor(4.1953)
926,tensor(4.3751)
927,tensor(4.5679)
928,tensor(4.3019)
929,tensor(4.3908)
930,tensor(4.6034)
931,tensor(4.9937)
932,tensor(4.5955)
933,tensor(4.8103)
934,tensor(4.7547)
935,tensor(4.5915)
936,tensor(4.3106)
937,tensor(4.1195)
938,tensor(4.2736)
939,tensor(4.6851)
940,tensor(4.4904)
941,tensor(4.2064)
942,tensor(4.7483)
943,tensor(4.8251)
944,tensor(4.5405)
945,tensor(4.1978)
946,tensor(4.8148)
947,tensor(4.6703)
948,tensor(4.6424)
949,tensor(4.5978)
950,tensor(4.4196)
951,tensor(4.4466)
952,tensor(4.4935)
953,tensor(4.8968)
954,tensor(4.3401)
955,tensor(4.9031)
956,tensor(4.4971)
957,tensor(4.2189)
958,tensor(4.0113)
959,tensor(4.2179)
960,tensor(4.3718)
961,tensor(4.4394)
962,tensor(4.4281)
963,tensor(4.4020)
964,tensor(4.6756)
965,tensor(4.5369)
966,tensor(4.6879)
967,tensor(4.3530)
968,tensor(4.4526)
969,tensor(4.9413)
970,tensor(4.4834)
971,tensor(4.2062)
972,tensor(4.3804)
973,tensor(4.2461)
974,tensor(4.9957)
975,tensor(4.4367)
976,tensor(4.3815)
977,tensor(4.9609)
978,tensor(4.5613)
979,tensor(4.9654)
980,tensor(4.5626)
981,tensor(4.3651)
982,tensor(4.4666)
983,tensor(4.4167)
984,tensor(4.2616)
985,tensor(4.5065)
986,tensor(4.5547)
987,tensor(4.4779)
988,tensor(4.7753)
989,tensor(4.1812)
990,tensor(4.7474)
991,tensor(4.1763)
992,tensor(4.3441)
993,tensor(4.6783)
994,tensor(4.3340)
995,tensor(4.2852)
996,tensor(4.8926)
997,tensor(4.4574)
